	Subfind_ID	t-t_merg	q	Type	mass	int_type	center	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2
24	25119	-0.1115146599999992	0.17503673	first_progenitor	102519360.0	2	10	0.6569768	0	110	103.53826455236378	110.38792506268402
25	409	0.0	0.1233384	Merger	632104260.0	100	10	5.4687195	1	16	6.810723127170777	87.04420272008677
26	3384	0.0	0.3909859	Merger	416558980.0	100	10	3.454235	1	96	8.717211680762901	78.45914902219033
27	3581	0.0	0.22532909	Merger	109691256.0	100	10	0.6631494	1	117	33.3428328865554	51.628459165469394
28	6855	0.0	1.1093591	Merger	533570140.0	100	10	2.4986103	1	66	305.83604600227443	379.1729091748739
29	6944	0.0	0.5900957	Merger	165163330.0	100	10	1.2615823	1	89	25.984480374356398	131.27962826753358
30	7856	0.0	0.16900943	Merger	173736500.0	100	10	0.972598	1	144	41.68418522900505	42.088204947142664
31	10328	0.0	0.31377468	Merger	176199820.0	100	10	0.7772688	1	41	45.91380917534696	72.84938368680625
32	12233	0.0	0.16637419	Merger	117782910.0	100	10	0.8943466	1	66	20.407671738264735	68.5622405319867
33	12303	0.0	0.13285835	Merger	103785720.0	100	10	0.38748226	1	292	48.24065997799094	90.64203384738701
34	14185	0.0	0.6409007	Merger	91309020.0	100	10	0.44632536	1	137	639.8375584084688	640.286384008541
35	14736	0.0	0.11059372	Merger	163338610.0	100	10	0.8519071	1	31	89.36493647620621	136.0457621920571
36	14915	0.0	0.2637708	Merger	148621840.0	100	10	0.8849325	1	95	16.19407420011214	457.1285976699635
37	16727	0.0	0.27604756	Merger	131528280.0	100	10	0.87662977	1	88	1.7340395852329487	159.54866599382177
38	19695	0.0	0.16619468	Merger	85793784.0	100	10	0.37879494	1	221	16.891573133213797	49.52179160086424
39	7595	-0.0318125699999995	0.11301729	next_progenitor	323845820.0	10	10	2.5550337	0	42	88.48615789448145	140.91796723984893
40	19082	-0.1115146599999992	0.2672853	next_progenitor	109865050.0	10	10	0.64735717	0	106	191.2282367990679	237.97490108267687
41	15794	-0.1995146000000005	0.30640554	first_progenitor	96849880.0	1	10	0.41575634	0	63	18.975058534267156	85.75488353685876
