	SubhaloID	Mass	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2	matched_to_merger_subid	ngrows
101	10690	287692400.0	1.1988655	0	0	17276.49503051433	17296.60792285016	385	0
6	1180	2865661000.0	16.688173	0	0	8161.150344524797	8215.412168153971	924	0
35	4345	952819140.0	5.633152	0	0	16416.274689271286	16468.266138596828	2314	0
219	20845	137872100.0	0.8023282	0	0	16991.930279925247	17012.704914295977	2316	0
124	13216	322765200.0	1.3310941	0	0	11680.379448537196	11701.510731253027	3924	0
242	22853	100015010.0	0.4921818	0	0	11818.067744720922	11822.243401726118	4435	0
94	10029	257783860.0	1.0921618	0	0	3095.138942418305	3374.5130352022366	7954	0
78	8461	413455840.0	3.32598	0	0	13164.614709193163	13459.035119723461	11569	0
118	12422	94271610.0	0.43235606	0	0	12593.100464821528	12638.615242838947	14471	0
277	27852	140002740.0	0.44799316	0	0	16212.695357530964	16234.160678934553	16271	0
120	12585	165830140.0	0.9641004	0	0	11627.332320506244	11696.867957236658	17964	0
203	19254	101771180.0	0.3183882	0	0	15687.201750858776	15703.182057561797	18073	0
22	3018	180458060.0	0.75674385	0	0	6966.958433695523	6994.209070985443	19229	0
222	21064	117523624.0	0.48752156	0	0	7264.065212536504	7494.675766300074	23232	0
293	29847	90735610.0	0.4017949	0	0	11941.68275098676	11971.030167620567	27403	0
253	24299	88254216.0	0.25617087	0	0	11025.05313486605	11053.99450873643	32682	0
83	8944	97404530.0	0.5795921	0	0	11367.491107173764	11373.801231488198	33063	0
264	26238	90684390.0	0.31937617	0	0	11048.398850211062	11107.794401691894	33825	0
250	23700	161255920.0	0.5368996	0	0	10270.932653722457	10319.259012359687	18925	0
181	17934	234779420.0	1.3695785	0	0	16686.882981965242	16704.196197571902	7688	0
296	30412	143301950.0	0.5295983	0	0	11944.076408803694	11968.973404097917	20723	0
57	6577	145238270.0	0.690872	0	0	17269.475814367415	17293.904223643396	21745	0
105	11015	190656420.0	1.1087537	0	0	8672.586937523274	8919.44494348961	21915	0
29	3719	88953620.0	0.35410348	0	0	7572.994435215623	7807.643394043661	24758	0
