	Subfind_ID	t-t_merg	q	Type	mass	int_type	center	sfr	SFR	num_mergers_in_last_2Gyr	N	r_1	r_2
462	28	0.4713629178168759	0.21584868	Descendant	11606090000.0	1000	62	0.008517407	0.008517407	0	137	117.9072458311061	200.4626934779413
464	628953	0.4713629178168759	0.34664002	Descendant	846063900.0	1000	62	0.22513065	0.22513065	0	26	384.52030783565385	393.79253497080975
465	514737	0.3323170378168765	0.13924737	Descendant	184753730.0	1000	62	0.038884923	0.038884923	0	104	175.70286532566706	242.43349775010495
466	594035	0.3323170378168765	0.76016575	Descendant	579270900.0	1000	62	0.12424356	0.12424356	0	9	612.8708769810735	780.6479860950234
468	107	0.1437722578168765	0.79565334	Descendant	2261919000.0	1000	62	0.04819407	0.04819407	99	256	18.229604646564116	18.928348518768438
469	592701	0.1437722578168765	0.26140943	Descendant	689888900.0	1000	62	0.06306433	0.06306433	0	7	285.12508927484083	435.10448258492914
470	3	0.0	0.13042818	Merger	143334260000.0	100	62	0.62056184	0.62056184	2	30	219.03366903136893	291.6619922020109
471	41	0.0	0.11777298	Merger	1890292600.0	100	62	0.047876414	0.047876414	1	279	299.8101521308695	321.1322788042006
474	50228	0.0	0.1588062	Merger	3065669600.0	100	62	0.9874585	0.9874585	2	116	418.2937640896996	428.2026781700464
475	89095	0.0	0.72280854	Merger	567307500000.0	100	62	195.81581	195.81581	3	3	159.1624984794206	1251.706436620646
476	89096	0.0	0.41907874	Merger	49301140000.0	100	62	4.7424994	4.7424994	1	32	452.49062197344614	461.14688662269424
477	139041	0.0	0.39311668	Merger	227155280000.0	100	62	1.9231486	1.9231486	1	8	162.95165618782346	229.1914836897445
478	176690	0.0	0.10780543	Merger	4483522000.0	100	62	2.6726937	2.6726937	1	32	74.84156918335476	85.32726142132614
479	214251	0.0	0.21029332	Merger	73420840000.0	100	62	10.9387865	10.9387865	1	3	720.6240019400033	868.330527234601
480	214252	0.0	0.2540687	Merger	18701515000.0	100	62	4.708319	4.708319	1	7	93.84576316177815	153.19154961733298
481	219527	0.0	0.10200928	Merger	334983040000.0	100	62	4.810784	4.810784	1	5	471.68931980878233	1489.7850940514134
482	244695	0.0	1.8062291	Merger	212361170.0	100	62	0.37422106	0.37422106	1	118	10.37561338251372	11.102595411037694
483	252455	0.0	0.11568294	Merger	15499582000.0	100	62	4.6655827	4.6655827	3	10	142.65116831705444	158.64842578037988
484	283919	0.0	1.4081601	Merger	55001776000.0	100	62	0.31921774	0.31921774	1	2	370.9480825692154	1710.2960714329267
485	288703	0.0	0.99538195	Merger	4942820400.0	100	62	1.1771148	1.1771148	1	26	14.14645141446094	17.581405437400832
486	299416	0.0	0.15159412	Merger	112833470.0	100	62	0.026636273	0.026636273	1	155	51.09991192186979	53.1783024279101
487	299420	0.0	1.4793011	Merger	1214833900.0	100	62	1.8132946	1.8132946	1	59	25.360269525095582	25.93019329724521
488	315370	0.0	0.13419265	Merger	619253900.0	100	62	0.20738955	0.20738955	1	55	218.49265506621478	223.39310923358514
489	333940	0.0	0.37233403	Merger	4048511200.0	100	62	0.546388	0.546388	2	24	94.38480217930221	142.31864127375417
