	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	6	212955	0.4874113599999994	0.89069307	Descendant	620084660000.0	1000	72
1	51	712944	0.4874113599999994	0.102798656	Descendant	196266180.0	1000	72
2	53	0	0.32690631	0.1764896	Descendant	2506416200000.0	1000	72
3	54	140	0.32690631	0.86678463	Descendant	4311800300.0	1000	72
4	79	557919	0.32690631	0.16289699	Descendant	337432060.0	1000	72
5	101	119183	0.1644316799999998	0.82171166	Descendant	147156270.0	1000	72
6	124	626207	0.1644316799999998	0.15999238	Descendant	92573730.0	1000	72
7	136	119197	0.0	1.0923967	Merger	1369553400.0	100	72
8	137	133418	0.0	0.36396515	Merger	1679919400.0	100	72
9	138	158382	0.0	0.14326692	Merger	365165300000.0	100	72
10	139	173635	0.0	0.35980058	Merger	105743660000.0	100	72
11	140	181951	0.0	0.1759836	Merger	265827400000.0	100	72
12	141	252137	0.0	0.27397016	Merger	245622240000.0	100	72
13	142	263413	0.0	0.13035537	Merger	201033900000.0	100	72
14	143	295817	0.0	0.40953776	Merger	87249290000.0	100	72
15	144	304142	0.0	0.12771188	Merger	170104510.0	100	72
16	145	313119	0.0	0.56230694	Merger	1158441000.0	100	72
17	146	316773	0.0	0.13890485	Merger	589360260.0	100	72
18	147	316785	0.0	0.8178844	Merger	724956200.0	100	72
19	148	326889	0.0	0.45531437	Merger	5022704000.0	100	72
20	149	340382	0.0	1.0326972	Merger	1188275700.0	100	72
21	150	347958	0.0	0.17705871	Merger	15626935000.0	100	72
22	151	356314	0.0	0.31129226	Merger	1161663100.0	100	72
23	152	356316	0.0	0.89990836	Merger	2047612000.0	100	72
24	153	358815	0.0	0.113571994	Merger	40410110000.0	100	72
25	154	363697	0.0	0.16899316	Merger	92934545000.0	100	72
26	155	371697	0.0	0.1407988	Merger	439092200.0	100	72
27	156	425245	0.0	0.20338832	Merger	31306207000.0	100	72
28	157	435666	0.0	0.42642096	Merger	488063000.0	100	72
29	158	441824	0.0	0.38294226	Merger	12181052000.0	100	72
30	159	475906	0.0	1.3755695	Merger	15968246000.0	100	72
31	160	488873	0.0	0.16990615	Merger	650361200.0	100	72
32	161	516941	0.0	0.27604717	Merger	5368202000.0	100	72
33	162	522235	0.0	0.32024226	Merger	2986657300.0	100	72
34	163	546814	0.0	0.12937658	Merger	5646296000.0	100	72
35	164	566114	0.0	0.1723957	Merger	2096488100.0	100	72
36	165	566649	0.0	0.17403777	Merger	1432000300.0	100	72
37	166	587808	0.0	0.22974676	Merger	814143600.0	100	72
38	167	590054	0.0	0.33815312	Merger	1058145150.0	100	72
39	168	592465	0.0	0.13201554	Merger	722831550.0	100	72
40	169	609073	0.0	0.25758314	Merger	737970600.0	100	72
41	170	614265	0.0	0.31466144	Merger	522214400.0	100	72
42	171	615430	0.0	2.015238	Merger	773176000.0	100	72
43	172	618821	0.0	0.139127	Merger	136053700.0	100	72
44	173	622568	0.0	0.15558527	Merger	191093420.0	100	72
45	174	625529	0.0	0.23162253	Merger	1030725700.0	100	72
46	175	627604	0.0	0.43100226	Merger	92767370.0	100	72
47	176	627936	0.0	0.49025503	Merger	278098900.0	100	72
48	177	638858	0.0	0.1732579	Merger	563580600.0	100	72
49	178	642924	0.0	0.27257285	Merger	721702900.0	100	72
50	179	646631	0.0	0.40502366	Merger	273242180.0	100	72
51	180	652547	0.0	0.15346137	Merger	275720000.0	100	72
52	181	659345	0.0	0.11404498	Merger	525562020.0	100	72
53	182	665260	0.0	0.3476577	Merger	330072800.0	100	72
54	183	668555	0.0	0.32413068	Merger	236427950.0	100	72
55	184	669943	0.0	0.23425111	Merger	364549100.0	100	72
56	266	316783	-0.3346781200000004	1.3634312	first_progenitor	1895226500.0	1	72
57	274	360901	-0.3346781200000004	0.3495796	first_progenitor	273040160.0	1	72
