	level_0	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	0	2	53469	0.0	0.95773435	Merger	1452256000.0	100	69
1	1	3	116561	0.0	0.10112673	Merger	1003012360000.0	100	69
2	2	4	177883	0.0	1.2463099	Merger	7268994000.0	100	69
3	3	5	212955	0.0	0.89069307	Merger	1026105860.0	100	69
4	4	6	248454	0.0	0.26377204	Merger	128276930.0	100	69
5	5	7	287473	0.0	2.672953	Merger	1227420800.0	100	69
6	6	8	288721	0.0	1.0956372	Merger	207788020000.0	100	69
7	7	9	343383	0.0	1.0553666	Merger	1262132700.0	100	69
8	8	10	358232	0.0	2.2514555	Merger	807792830.0	100	69
9	9	11	360933	0.0	0.23860116	Merger	84883055000.0	100	69
10	10	12	385009	0.0	1.867197	Merger	251768670.0	100	69
11	11	13	469953	0.0	9.394161	Merger	4993142300.0	100	69
12	12	14	471098	0.0	0.2050208	Merger	89679800.0	100	69
13	13	15	488291	0.0	0.23299599	Merger	3918402300.0	100	69
14	14	16	491423	0.0	0.21532302	Merger	9626592000.0	100	69
15	15	17	498998	0.0	0.11956576	Merger	8837687000.0	100	69
16	16	18	522968	0.0	0.13273638	Merger	5514212000.0	100	69
17	17	19	527632	0.0	0.409353	Merger	807308600.0	100	69
18	18	20	536086	0.0	0.2360649	Merger	254700640.0	100	69
19	19	21	536258	0.0	0.10050153	Merger	3319571000.0	100	69
20	20	22	543907	0.0	0.13868488	Merger	1621272000.0	100	69
21	21	23	547868	0.0	0.21342301	Merger	275501250.0	100	69
22	22	24	554146	0.0	1.2338463	Merger	1412025100.0	100	69
23	23	25	559303	0.0	0.5825096	Merger	2854533400.0	100	69
24	24	26	565937	0.0	0.22472514	Merger	552298050.0	100	69
25	25	27	569158	0.0	0.24121977	Merger	2268571400.0	100	69
26	26	28	571831	0.0	0.16766885	Merger	200747170.0	100	69
27	27	29	574582	0.0	0.100299545	Merger	1279288700.0	100	69
28	28	30	581379	0.0	0.11943409	Merger	374425900.0	100	69
29	29	31	583622	0.0	0.43327153	Merger	346695520.0	100	69
30	30	32	590523	0.0	0.1362523	Merger	291288350.0	100	69
31	31	33	593584	0.0	0.14832522	Merger	171667980.0	100	69
32	32	34	605169	0.0	0.26181972	Merger	969156160.0	100	69
33	33	35	607655	0.0	0.15149337	Merger	705690200.0	100	69
34	34	36	609109	0.0	0.988153	Merger	380966500.0	100	69
35	35	37	613456	0.0	0.38523912	Merger	575377900.0	100	69
36	36	38	615967	0.0	0.17141533	Merger	648384500.0	100	69
37	37	39	621505	0.0	0.30319858	Merger	411082340.0	100	69
38	38	40	625786	0.0	0.32465455	Merger	549888600.0	100	69
39	39	41	628759	0.0	0.14903682	Merger	310474850.0	100	69
40	40	42	638786	0.0	0.14922422	Merger	257669570.0	100	69
41	41	43	643247	0.0	0.1016691	Merger	98586420.0	100	69
42	42	44	643804	0.0	0.11921821	Merger	344094980.0	100	69
43	43	45	652379	0.0	1.8459706	Merger	122556580.0	100	69
44	44	46	660316	0.0	0.9848357	Merger	162253860.0	100	69
45	45	47	682432	0.0	0.26739097	Merger	125243770.0	100	69
46	46	48	683599	0.0	0.30045414	Merger	123649990.0	100	69
47	47	49	684886	0.0	0.44253802	Merger	99049430.0	100	69
48	48	50	712944	0.0	0.102798656	Merger	98637016.0	100	69
49	49	51	821612	0.0	0.25633958	Merger	268261420.0	100	69
50	50	52	0	-0.1605050499999993	0.1764896	first_progenitor	2083414200000.0	1	69
51	51	53	12	-0.1605050499999993	0.1764896	next_progenitor	44386810000.0	10	69
52	52	54	145	-0.1605050499999993	0.86678463	first_progenitor	2601519900.0	1	69
53	53	55	160	-0.1605050499999993	0.86678463	next_progenitor	171860000.0	10	69
54	54	70	358981	-0.1605050499999993	1.2354707	first_progenitor	32165835000.0	1	69
55	55	141	714289	-0.1605050499999993	0.11553202	next_progenitor	102750424.0	10	69
56	56	142	729881	-0.1605050499999993	0.21159892	first_progenitor	93403736.0	1	69
57	57	165	570974	-0.3229796799999995	1.9918603	next_progenitor	3411330000.0	10	69
58	58	281	624761	-0.4874113599999994	0.1732579	next_progenitor	885026300.0	10	69
59	59	290	653348	-0.4874113599999994	0.3476577	first_progenitor	210769730.0	1	69
60	0	52	0	0.0	0.1764896	Merger	2221113600000.0	100	70
61	1	53	140	0.0	0.86678463	Merger	4003823400.0	100	70
62	2	54	118281	0.0	1.3004289	Merger	25205700000.0	100	70
63	3	55	189846	0.0	0.1055484	Merger	2178371300.0	100	70
64	4	56	285051	0.0	0.47044626	Merger	61736505000.0	100	70
65	5	57	286769	0.0	1.0076901	Merger	885811300.0	100	70
66	6	58	289898	0.0	0.86353755	Merger	1170132900.0	100	70
67	7	59	317576	0.0	0.13944428	Merger	72586445000.0	100	70
68	8	60	346548	0.0	0.92019916	Merger	1737286900.0	100	70
69	9	61	371885	0.0	1.2354707	Merger	1784534700.0	100	70
70	10	62	372920	0.0	0.7746189	Merger	2377930200.0	100	70
71	11	63	378928	0.0	0.13822024	Merger	20725613000.0	100	70
72	12	64	434886	0.0	0.14863278	Merger	2383058700.0	100	70
73	13	65	441204	0.0	0.11047449	Merger	10330760000.0	100	70
74	14	66	458583	0.0	0.70129776	Merger	444085920.0	100	70
75	15	67	459827	0.0	0.40380546	Merger	19683050000.0	100	70
76	16	68	461094	0.0	0.19281445	Merger	8218557000.0	100	70
77	17	69	463865	0.0	0.27808303	Merger	2407306500.0	100	70
78	18	70	495613	0.0	0.24732351	Merger	9897425000.0	100	70
79	19	71	499476	0.0	0.13458826	Merger	11618692000.0	100	70
80	20	72	505306	0.0	0.17639576	Merger	143447790.0	100	70
81	21	73	511114	0.0	0.24763745	Merger	5790946300.0	100	70
82	22	74	525446	0.0	0.15517022	Merger	5319096300.0	100	70
83	23	75	540850	0.0	0.13435835	Merger	1606099700.0	100	70
84	24	76	551917	0.0	0.22842799	Merger	2039687200.0	100	70
85	25	77	557400	0.0	0.13861199	Merger	1446314500.0	100	70
86	26	78	557919	0.0	0.16289699	Merger	166693660.0	100	70
87	27	79	562361	0.0	0.26245838	Merger	2832815600.0	100	70
88	28	80	580025	0.0	0.13820301	Merger	419253380.0	100	70
89	29	81	580423	0.0	0.13425067	Merger	1156785400.0	100	70
90	30	82	597185	0.0	0.1408805	Merger	1115564200.0	100	70
91	31	83	607835	0.0	0.35681397	Merger	192352290.0	100	70
92	32	84	611756	0.0	0.10918931	Merger	418422530.0	100	70
93	33	85	614078	0.0	0.33474788	Merger	415443420.0	100	70
94	34	86	626801	0.0	0.28831524	Merger	355696000.0	100	70
95	35	87	628881	0.0	0.23742715	Merger	504494750.0	100	70
96	36	88	638308	0.0	0.3899381	Merger	236497660.0	100	70
97	37	89	638682	0.0	0.44239354	Merger	298416350.0	100	70
98	38	90	659523	0.0	0.12582257	Merger	265034260.0	100	70
99	39	91	659900	0.0	0.19027781	Merger	242979680.0	100	70
100	40	92	670068	0.0	0.2728648	Merger	93859410.0	100	70
101	41	93	687434	0.0	1.2369988	Merger	139639660.0	100	70
102	42	94	702248	0.0	0.25426552	Merger	119400616.0	100	70
103	43	95	702393	0.0	0.3053144	Merger	137806620.0	100	70
104	44	96	721764	0.0	0.11553202	Merger	84174710.0	100	70
105	45	97	734081	0.0	0.21159892	Merger	98543520.0	100	70
106	46	190	308457	-0.32690631	0.56230694	next_progenitor	165961810.0	10	70
107	47	237	611120	-0.32690631	0.43100226	next_progenitor	598301700.0	10	70
108	48	247	641134	-0.32690631	0.15346137	next_progenitor	217576930.0	10	70
109	49	266	331141	-0.4932812399999999	0.47670683	first_progenitor	1690243800.0	1	70
110	50	302	628328	-0.4932812399999999	0.28794655	first_progenitor	1149879400.0	1	70
111	0	48	683599	0.3229796799999995	0.30045414	Descendant	200983500.0	1000	71
112	1	52	0	0.1624746300000001	0.1764896	Descendant	2587432000000.0	1000	71
113	2	53	140	0.1624746300000001	0.86678463	Descendant	1646198500.0	1000	71
114	3	97	465	0.0	0.6703479	Merger	600508800.0	100	71
115	4	98	91711	0.0	0.14580531	Merger	803267540000.0	100	71
116	5	99	119183	0.0	0.82171166	Merger	1215105500.0	100	71
117	6	100	217798	0.0	0.10236703	Merger	37677750000.0	100	71
118	7	101	314361	0.0	0.84860104	Merger	2906032400.0	100	71
119	8	102	321989	0.0	0.12823567	Merger	260042700.0	100	71
120	9	103	362593	0.0	0.1425518	Merger	109081150000.0	100	71
121	10	104	383018	0.0	0.66523224	Merger	27921482000.0	100	71
